,Partner Name,Specializations Link,Specializations Title ,description,Star Rating 5,Reviwers,meta,Course 1 Title,Course 1 link,Course 1 Duration Hours,Course 1 Rating 5 Stars,Course 1 Number of Raters ,Course 1 enrollment,Course 2 Title,Course 2 link,Course 2 Duration Hours,Course 2 Rating 5 Stars,Course 2 Number of Raters ,Course 2 enrollment,Course 3 Title,Course 3 link,Course 3 Duration Hours,Course 3 Rating 5 Stars,Course 3 Number of Raters ,Course 3 enrollment,Course 4 Title,Course 4 link,Course 4 Duration Hours,Course 4 Rating 5 Stars,Course 4 Number of Raters ,Course 4 enrollment,Course 5 Title,Course 5 link,Course 5 Duration Hours,Course 5 Rating 5 Stars,Course 5 Number of Raters ,Course 5 enrollment,Course 6 Title,Course 6 link,Course 6 Duration Hours,Course 6 Rating 5 Stars,Course 6 Number of Raters ,Course 6 enrollment,Course 7 Title,Course 7 link,Course 7 Duration Hours,Course 7 Rating 5 Stars,Course 7 Number of Raters ,Course 7 enrollment,Course 8 Title,Course 8 link,Course 8 Duration Hours,Course 8 Rating 5 Stars,Course 8 Number of Raters ,Course 8 enrollment,Course 9 Title,Course 9 link,Course 9 Duration Hours,Course 9 Rating 5 Stars,Course 9 Number of Raters ,Course 9 enrollment,Course 10 Title,Course 10 link,Course 10 Duration Hours,Course 10 Rating 5 Stars,Course 10 Number of Raters ,Course 10 enrollment,Course 11 Title,Course 11 link,Course 11 Duration Hours,Course 11 Rating 5 Stars,Course 11 Number of Raters ,Course 11 enrollment,Course 12 Title,Course 12 link,Course 12 Duration Hours,Course 12 Rating 5 Stars,Course 12 Number of Raters ,Course 12 enrollment,Course 13 Title,Course 13 link,Course 13 Duration Hours,Course 13 Rating 5 Stars,Course 13 Number of Raters ,Course 13 enrollment
639,University of Colorado Boulder,/specializations/active-learning-in-stem-with-phet-interactive-simulations,Active Learning in STEM with PhET Interactive Simulations,"Skills you'll gain: Business Communication, Business Psychology, Collaboration, Communication, Entrepreneurship, Human Learning, Human Resources, Leadership and Management, Marketing, Operations Research, People Development, Planning, Research and Design, Sales, Strategy, Strategy and Operations, Supply Chain and Logistics",4.9,39,Beginner   Specialization   1 - 3 Months,Introduction to PhET Simulations for STEM Education,/learn/introduction-to-phet-simulations-for-stem-education?specialization=active-learning-in-stem-with-phet-interactive-simulations,4,4.9,21,2025,Activity Design with PhET Simulations for STEM Education,/learn/activity-design-with-phet-simulations-for-stem-education?specialization=active-learning-in-stem-with-phet-interactive-simulations,22,4.9,16,NONE,Implementation of PhET Activities for STEM Education,/learn/implementation-of-phet-activities-for-stem-education?specialization=active-learning-in-stem-with-phet-interactive-simulations,12,4.9,11,1663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,"Automatic Data Processing, Inc. ADP)",/specializations/airs-hiring-manager,A Manager's Guide to Modern Hiring by AIRSÂ®,"Skills you'll gain: Communication, Leadership Development, Recruitment",NON,NONE,Intermediate   Specialization   3 - 6 Months,Interviewing Best Practices,/learn/airs-interviewing-best-practices?specialization=airs-hiring-manager,3,,,NONE,A Consultative Approach to Working with Recruiters,/learn/airs-consultative-approach-working-with-recruiters?specialization=airs-hiring-manager,3,,,NONE,Understanding Diversity & Inclusion,/learn/airs-understanding-diversity--inclusion?specialization=airs-hiring-manager,3,,,NONE,Creating an Engaging Candidate Experience,/learn/creating-an-engaging-candidate-experience?specialization=airs-hiring-manager,3,,,NONE,Effective Onboarding,/learn/airs-effective-onboarding?specialization=airs-hiring-manager,2,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,"University of California, Irvine",/specializations/data-science-fundamentals,Data Science Fundamentals,"Skills you'll gain: Probability & Statistics, Data Analysis, General Statistics, Data Management, Theoretical Computer Science, Business Analysis, Human Resources, Regression, Big Data, Correlation And Dependence, Data Mining, Data Structures, Statistical Analysis, Advertising, Communication, Leadership and Management, Machine Learning, Natural Language Processing, Strategy and Operations",4.3,179,Beginner   Specialization   3 - 6 Months,"Intro to Analytic Thinking, Data Science, and Data Mining",/learn/intro-analyticthinking-datascience-datamining?specialization=data-science-fundamentals,7,4.1,117,6757,"Predictive Modeling, Model Fitting, and Regression Analysis",/learn/predictive-modeling-model-fitting-regression-analysis?specialization=data-science-fundamentals,4,4.4,52,3225,"Cluster Analysis, Association Mining, and Model Evaluation",/learn/cluster-analysis-association-mining-and-model-evaluation?specialization=data-science-fundamentals,3,4.6,32,2513, Natural Language Processing and Capstone Assignment,/learn/natural-language-processing-captsone-assignment?specialization=data-science-fundamentals,4,4.7,25,2215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,IE Business School,/specializations/implementacion-marketing-mix,ImplementaciÃ³n del Marketing Mix,"Skills you'll gain: Marketing, Leadership and Management, Sales, Strategy and Operations, Entrepreneurship, Strategy, Brand Management, Communication, Design and Product, Product Management, Supply Chain and Logistics, Market Research, Probability & Statistics, Product Marketing, Research and Design, Advertising, Econometrics, Public Relations, Retail Store Operations, B2B Sales, Behavioral Economics, Business Psychology, Customer Relationship Management, Customer Success, Finance, Human Resources, Leadership Development, Market Analysis, Merchandising, Probability Distribution, Retail Sales, Accounting, Corporate Accouting, Digital Marketing, Marketing Management, Media Strategy & Planning, Product Strategy",4.8,1700,Beginner   Specialization   3 - 6 Months,GestiÃ³n de marca y producto,/learn/gestion-marca-producto?specialization=implementacion-marketing-mix,12,4.8,702,20516,Estrategia de precios,/learn/estrategia-precios?specialization=implementacion-marketing-mix,11,4.7,343,14067,GestiÃ³n del canal de distribuciÃ³n y retailing    ,/learn/canal-distribucion?specialization=implementacion-marketing-mix,7,4.7,407,10587,"Comunicaciones integradas de marketing: Publicidad, Relaciones PÃºblicas, Marketing Digital y mÃ¡s",/learn/comunicaciones-integradas-marketing?specialization=implementacion-marketing-mix,8,4.8,673,22310,ImplementaciÃ³n del Marketing Mix Proyecto Capstone,/learn/proyecto-capstone-ie?specialization=implementacion-marketing-mix,20,4.9,25,1554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,"University of California, Irvine",/specializations/essential-english-for-university-success,Essential English for University Success,"Skills you'll gain: Communication, Writing, Business Communication, Computer Graphics, Human Computer Interaction, Interactive Design, Leadership and Management, Accounting, Audit, Business Psychology, Computer Programming, Entrepreneurship, Organizational Development, Other Programming Languages, Planning, Project Management, Strategy and Operations, Supply Chain and Logistics, Marketing, Sales, Strategy",4.6,156,Beginner   Specialization   1 - 3 Months,Speaking Skills for University Success,/learn/speaking-skills-for-university-success?specialization=essential-english-for-university-success,7,4.8,59,9071,Writing Skills for University Success,/learn/writing-skills-for-success?specialization=essential-english-for-university-success,7,4.4,32,5495,Study Skills for University Success,/learn/study-skills-for-university-success?specialization=essential-english-for-university-success,9,4.6,78,5614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,Codio,/specializations/hands-on-java,Programming in Java: A Hands-on Introduction,"Skills you'll gain: Computer Programming, Mobile Development, Web Development, Communication, Computer Graphics, Computer Programming Tools, Computer Science, Data Management, Data Structures, Data Warehousing, Entrepreneurship, Java Programming, Javascript, Journalism, Leadership and Management, Operations Management, Other Programming Languages, Problem Solving, Programming Principles, Research and Design, Strategy and Operations, Theoretical Computer Science",4.4,81,Beginner   Specialization   3 - 6 Months,Java Basics: Selection and Iteration,/learn/codio-java-basics?specialization=hands-on-java,8,4.3,58,3881,"Java Basic Structures: Arrays, Strings, and Files",/learn/java-basic-structures-arrays-strings-and-files?specialization=hands-on-java,7,4.6,23,2750,"Java Object Basics: Functions, Recursion, and Objects",/learn/java-object-basics?specialization=hands-on-java,8,,,1537,Object-Oriented Java: Inheritance and Encapsulation,/learn/object-oriented-java-inheritance-and-encapsulation?specialization=hands-on-java,9,,,NONE,Core Java,/learn/codio-core-java?specialization=hands-on-java,7,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,University System of Georgia,/specializations/cybersecurity-developing-program-for-business,Cybersecurity: Developing a Program for Your Business,"Skills you'll gain: Human Computer Interaction, Security Engineering, Security Strategy, Entrepreneurship, Leadership and Management, Strategy and Operations, Computer Architecture, Computer Graphics, Computer Networking, Human Factors Security), Interactive Design, Internet Of Things, Network Architecture, Software Engineering, Operating Systems, System Security, Computer Security Incident Management, Marketing, Sales, Strategy, Mobile Development, Mobile Security, Business Psychology, Cyberattacks, Human Resources, Training, Behavioral Economics, Communication, Computational Thinking, Computer Programming, Decision Making, Design and Product, Employee Relations, Finance, Product Management, Risk Management, Software Security, Theoretical Computer Science, Business Analysis, Business Transformation, Cloud Computing, Computer Science, Information Technology, User Experience, Other Cloud Platforms and Tools",4.6,2700,Beginner   Specialization   3 - 6 Months,Cybersecurity and Mobility,/learn/cybersecurity-mobility?specialization=cybersecurity-developing-program-for-business,13,4.5,609,36945,Cybersecurity and the Internet of Things,/learn/iot-cyber-security?specialization=cybersecurity-developing-program-for-business,10,4.6,2114,73972,Cybersecurity and the X-Factor,/learn/cybersecurity-and-x-factor?specialization=cybersecurity-developing-program-for-business,12,4.7,255,17913,The Business of Cybersecurity Capstone,/learn/business-of-cybersecurity-capstone?specialization=cybersecurity-developing-program-for-business,17,4.9,49,4164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,University of Colorado System,/specializations/requirements-engineering-secure-software,Requirements Engineering: Secure Software  Specifications,"Skills you'll gain: Software Engineering, Design and Product, Product Design, Application Development, Computer Architecture, Human Resources, Communication, Software Architecture, Theoretical Computer Science, Marketing, Negotiation, Sales, Agile Software Development, Project Management, Strategy and Operations, Account Management, Conflict Management, Finance, Leadership and Management, Risk Management",4.5,765,Beginner   Specialization   3 - 6 Months,Requirements Gathering for Secure Software Development,/learn/requirements-gathering-secure?specialization=requirements-engineering-secure-software,9,4.6,620,16545,Requirements Elicitation: Artifact and Stakeholder Analysis,/learn/requirements-elicitation?specialization=requirements-engineering-secure-software,18,4.5,107,7056,Requirements Specifications: Goals and Conflict Analysis,/learn/requirements-specification-goals?specialization=requirements-engineering-secure-software,20,4.7,57,4581,Software Requirements Prioritization: Risk Analysis,/learn/software-requirements-prioritization?specialization=requirements-engineering-secure-software,18,4.6,105,4557,SRS Documents: Requirements and Diagrammatic Notations,/learn/srs-documents-requirements?specialization=requirements-engineering-secure-software,17,4.4,47,5623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,The State University of New York,/specializations/applied-digital-literacy,Applied Digital Literacy,"Skills you'll gain: Research and Design, Visual Design, Data Visualization, Statistical Visualization, Communication, Design and Product, Human Computer Interaction, User Research, Writing, Big Data, Bioinformatics, Critical Thinking, Data Management, Databases, Entrepreneurship, Feature Engineering, Graphic Design, Leadership and Management, Machine Learning, Market Research, Probability & Statistics, Project Management, Strategy and Operations",4.8,8,Beginner   Specialization   3 - 6 Months,Basic Information Literacy,/learn/basic-information-literacy?specialization=applied-digital-literacy,13,4.8,65,3504,Advanced Information Literacy,/learn/advanced-information-literacy?specialization=applied-digital-literacy,18,,,NONE,Digital Information Literacy,/learn/digital-information-literacy?specialization=applied-digital-literacy,16,4.7,14,2084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,Arizona State University,/specializations/rapid-prototyping-using-3d-printing,Rapid Prototyping Using 3D Printing,"Skills you'll gain: Brand Management, Collaboration, Communication, Creativity, Design and Product, Entrepreneurship, Leadership and Management, Marketing, Problem Solving, Product Lifecycle, Product Management, Research and Design, Strategy and Operations",4.9,12,Beginner   Specialization   1 - 3 Months,Engineering and Product Design Processes,/learn/engineering-and-product-design-processes?specialization=rapid-prototyping-using-3d-printing,3,,,NONE,Prototyping,/learn/prototyping?specialization=rapid-prototyping-using-3d-printing,5,,,NONE,3D Printing Technology Deep Dive and Use Cases,/learn/3d-printing-technology-deep-dive-and-use-cases?specialization=rapid-prototyping-using-3d-printing,9,,,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
