Url,Partner,,Type,Rating,Rating, reviews,Enroll,Level
/specializations/photography-basics,Michigan State University,Photography Basics and Beyond: From Smartphone to DSLR,SPECIALIZATION,Rated 4.7 out of five stars. 5392 reviews,4.7,"5,392",260K students,Beginner
/specializations/firstprinciplesofcomputervision,Columbia University,First Principles of Computer Vision,SPECIALIZATION,,,,,Beginner
/specializations/spring-framework,LearnQuest,Spring Framework,SPECIALIZATION,,,,,Beginner
/specializations/intro-cyber-security,New York University,Introduction to Cyber Security,SPECIALIZATION,Rated 4.7 out of five stars. 2368 reviews,4.7,"2,368",54K students,Beginner
/specializations/microsoft-azure-dp-203-data-engineering,Microsoft,Microsoft Azure Data Engineering Associate DP-203 Exam Prep,SPECIALIZATION,Rated 4.9 out of five stars. 7 reviews,4.9,7,,Intermediate
/specializations/analysing-numeric-digital-literacies,Macquarie University,Analysing: Numeric and digital literacies,SPECIALIZATION,Rated 4.6 out of five stars. 754 reviews,4.6,754,26K students,Beginner
/specializations/key-technologies-data-analytics,LearnQuest,Key Technologies in Data Analytics,SPECIALIZATION,Rated 3.8 out of five stars. 18 reviews,3.8,18,,Beginner
/specializations/michiganux,University of Michigan,User Experience Research and Design,SPECIALIZATION,Rated 4.8 out of five stars. 1471 reviews,4.8,"1,471",67K students,Beginner
/specializations/secure-software-design,University of Colorado System,Secure Software Design,SPECIALIZATION,Rated 4.6 out of five stars. 315 reviews,4.6,315,16K students,Beginner
/specializations/javascript-security,Infosec,JavaScript Security,SPECIALIZATION,,,,,Intermediate
/specializations/vital-skills-for-data-science,University of Colorado Boulder,Vital Skills for Data Science,SPECIALIZATION,Rated 4.6 out of five stars. 19 reviews,4.6,19,2K students,Intermediate
/learn/positive-psychology-project,University of Pennsylvania,Positive Psychology Specialization Project: Design Your Life for Well-being,COURSE,Rated 4.8 out of five stars. 631 reviews,4.8,631,18K students,Mixed
/learn/cad-bim-shiwu,National Taiwan University,CAD/BIM技術與應用專項課程（CAD/BIM Specialization),COURSE,,,,,Mixed
/learn/scale-up-specialization-capstone,IE Business School,Scale Up Specialization Capstone,COURSE,,,,,Intermediate
/professional-certificates/google-ux-design,Google,Google UX Design,PROFESSIONAL CERTIFICATE,Rated 4.8 out of five stars. 10967 reviews,4.8,"10,967",230K students,Beginner
/specializations/introduction-data-science,IBM,Introduction to Data Science,SPECIALIZATION,Rated 4.6 out of five stars. 59512 reviews,4.6,"59,512",590K students,Beginner
/specializations/data-science-fundamentals-python-sql,IBM,Data Science Fundamentals with Python and SQL,SPECIALIZATION,Rated 4.6 out of five stars. 39533 reviews,4.6,"39,533",490K students,Beginner
/specializations/applied-data-science,IBM,Applied Data Science,SPECIALIZATION,Rated 4.6 out of five stars. 32040 reviews,4.6,"32,040",430K students,Beginner
/specializations/data-analysis-visualization-foundations,IBM,Data Analysis and Visualization Foundations,SPECIALIZATION,Rated 4.7 out of five stars. 4385 reviews,4.7,"4,385",120K students,Beginner
/professional-certificates/tensorflow-in-practice,DeepLearning.AI,DeepLearning.AI TensorFlow Developer,PROFESSIONAL CERTIFICATE,Rated 4.7 out of five stars. 20092 reviews,4.7,"20,092",300K students,Intermediate
/specializations/finance-quantitative-modeling-analysts,University of Pennsylvania,Finance & Quantitative Modeling for Analysts,SPECIALIZATION,Rated 4.5 out of five stars. 13373 reviews,4.5,"13,373",330K students,Beginner
/specializations/wharton-business-financial-modeling,University of Pennsylvania,Business and Financial Modeling,SPECIALIZATION,Rated 4.5 out of five stars. 9055 reviews,4.5,"9,055",210K students,Beginner
/specializations/natural-language-processing,DeepLearning.AI,Natural Language Processing,SPECIALIZATION,Rated 4.6 out of five stars. 3763 reviews,4.6,"3,763",95K students,Intermediate
/specializations/learn-sql-basics-data-science,"University of California, Davis",Learn SQL Basics for Data Science,SPECIALIZATION,Rated 4.6 out of five stars. 10863 reviews,4.6,"10,863",350K students,Beginner
/specializations/digital-marketing,University of Illinois at Urbana-Champaign,Digital Marketing,SPECIALIZATION,Rated 4.7 out of five stars. 20090 reviews,4.7,"20,090",620K students,Beginner
/specializations/improve-english,Georgia Institute of Technology,Improve Your English Communication Skills,SPECIALIZATION,Rated 4.7 out of five stars. 21691 reviews,4.7,"21,691",1.2M students,Beginner
/specializations/developing-apps-gcp,Google Cloud,Developing Applications with Google Cloud,SPECIALIZATION,Rated 4.7 out of five stars. 42362 reviews,4.7,"42,362",540K students,Intermediate
/specializations/data-science-foundations-r,Johns Hopkins University,Data Science: Foundations using R,SPECIALIZATION,Rated 4.6 out of five stars. 45105 reviews,4.6,"45,105",1M students,Beginner
/specializations/aws-nodejs-serverless-development,Amazon Web Services,Modern Application Development with Node.js on AWS,SPECIALIZATION,Rated 4.8 out of five stars. 997 reviews,4.8,997,47K students,Beginner
/learn/neural-networks-deep-learning,DeepLearning.AI,Neural Networks and Deep Learning,COURSE,Rated 4.9 out of five stars. 108754 reviews,4.9,"108,754",990K students,Intermediate
/specializations/algorithms,Stanford University,Algorithms,SPECIALIZATION,Rated 4.8 out of five stars. 5129 reviews,4.8,"5,129",210K students,Intermediate
/specializations/data-science-python,University of Michigan,Applied Data Science with Python,SPECIALIZATION,Rated 4.5 out of five stars. 30072 reviews,4.5,"30,072",750K students,Intermediate
/specializations/ibm-intro-machine-learning,IBM,IBM Introduction to Machine Learning,SPECIALIZATION,Rated 4.6 out of five stars. 486 reviews,4.6,486,22K students,Intermediate
/specializations/practical-data-science,DeepLearning.AI,Practical Data Science,SPECIALIZATION,Rated 4.6 out of five stars. 158 reviews,4.6,158,10K students,Advanced
/specializations/genomic-data-science,Johns Hopkins University,Genomic Data Science,SPECIALIZATION,Rated 4.4 out of five stars. 5103 reviews,4.4,"5,103",120K students,Intermediate
/specializations/python-3-programming,University of Michigan,Python 3 Programming,SPECIALIZATION,Rated 4.7 out of five stars. 16748 reviews,4.7,"16,748",320K students,Beginner
/specializations/java-programming,Duke University,Java Programming and Software Engineering Fundamentals,SPECIALIZATION,Rated 4.6 out of five stars. 18085 reviews,4.6,"18,085",640K students,Beginner
/learn/deep-neural-network,DeepLearning.AI,"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",COURSE,Rated 4.9 out of five stars. 59253 reviews,4.9,"59,253",410K students,Intermediate
/specializations/blockchain-financial-services,INSEAD,Blockchain Revolution in Financial Services,SPECIALIZATION,Rated 4.7 out of five stars. 609 reviews,4.7,609,17K students,Beginner
/specializations/data-structures-algorithms,University of California San Diego,Data Structures and Algorithms,SPECIALIZATION,Rated 4.6 out of five stars. 13856 reviews,4.6,"13,856",510K students,Intermediate
/specializations/machine-learning-tensorflow-gcp,Google Cloud,Machine Learning with TensorFlow on Google Cloud,SPECIALIZATION,Rated 4.5 out of five stars. 8767 reviews,4.5,"8,767",120K students,Intermediate
/specializations/advanced-data-science-ibm,IBM,Advanced Data Science with IBM,SPECIALIZATION,Rated 4.3 out of five stars. 2776 reviews,4.3,"2,776",110K students,Advanced
/learn/convolutional-neural-networks,DeepLearning.AI,Convolutional Neural Networks,COURSE,Rated 4.9 out of five stars. 39522 reviews,4.9,"39,522",380K students,Intermediate
/specializations/ai-for-medicine,DeepLearning.AI,AI for Medicine,SPECIALIZATION,Rated 4.7 out of five stars. 1877 reviews,4.7,"1,877",48K students,Intermediate
/learn/machine-learning-projects,DeepLearning.AI,Structuring Machine Learning Projects,COURSE,Rated 4.8 out of five stars. 47165 reviews,4.8,"47,165",350K students,Beginner
/specializations/executive-data-science,Johns Hopkins University,Executive Data Science,SPECIALIZATION,Rated 4.5 out of five stars. 10118 reviews,4.5,"10,118",220K students,Beginner
/specializations/excel-data-analytics-visualization,Macquarie University,Excel Skills for Data Analytics and Visualization,SPECIALIZATION,Rated 4.8 out of five stars. 1609 reviews,4.8,"1,609",68K students,Intermediate
/learn/introduction-tensorflow,DeepLearning.AI,"Introduction to TensorFlow for Artificial Intelligence, Machine Learning, and Deep Learning",COURSE,Rated 4.7 out of five stars. 15911 reviews,4.7,"15,911",260K students,Intermediate
/specializations/boulder-data-structures-algorithms,University of Colorado Boulder,Data Structures and Algorithms,SPECIALIZATION,Rated 4.7 out of five stars. 41 reviews,4.7,41,5.8K students,Advanced
/specializations/excel-mysql,Duke University,Excel to MySQL: Analytic Techniques for Business,SPECIALIZATION,Rated 4.6 out of five stars. 14152 reviews,4.6,"14,152",640K students,Beginner
/specializations/everyday-excel,University of Colorado Boulder,Everyday Excel,SPECIALIZATION,Rated 4.7 out of five stars. 2014 reviews,4.7,"2,014",140K students,Beginner
/learn/classification-vector-spaces-in-nlp,DeepLearning.AI,Natural Language Processing with Classification and Vector Spaces,COURSE,Rated 4.6 out of five stars. 2930 reviews,4.6,"2,930",86K students,Intermediate
